Identifiant;Description;GPO_Key;Parameter;Hardening Value;FLAG;Descript;Rationale;Remediation;Impact
9.3.4;Ensure 'Windows Firewall Public Settings Display a notification' is set to 'No';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile;DisableNotifications;0;INVALID;;;;
9.3.5;Ensure 'Windows Firewall Public Settings Apply local firewall rules' is set to 'No';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile;AllowLocalPolicyMerge;0;INVALID;;;;
9.3.6;Ensure 'Windows Firewall Public Settings Apply local connection security rules' is set to 'No';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile;AllowLocalIPsecPolicyMerge;0;INVALID;;;;
9.3.7;Ensure 'Windows Firewall Public Logging Name';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\ Logging;LogFilePath;%SYSTEMROOT%\System32\logfiles\firewall\publicfw.log;INVALID;;;;
9.3.8;Ensure 'Windows Firewall Public Logging Size limit (KB)' is set to '16,384 KB or greater';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\ Logging;LogFileSize;16384-100000;INVALID;;;;
9.3.9;Ensure 'Windows Firewall Public Logging Log dropped packets' is set to 'Yes';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\ Logging;LogDroppedPackets;1;INVALID;;;;
9.3.10;Ensure 'Windows Firewall Public Logging Log successful connections' is set to 'Yes';HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\ Logging;LogSuccessfulConnections;1;INVALID;;;;
17.1.1;Ensure 'Audit Credential Validation' is set to 'Success and Failure';Pas de clef de registre correspondante;;###;INVALID;;;;
17.2.1;Ensure 'Audit Application Group Management' is set to 'Success and Failure';Pas de clef de registre correspondante;;###;INVALID;;;;
17.2.2;Ensure 'Audit Computer Account Management' is set to 'Success and Failure';Pas de clef de registre correspondante;;###;INVALID;;;;
17.2.3;Ensure 'Audit Distribution Group Management' is set to 'Success and Failure' (DC only);Pas de clef de registre correspondante;;###;INVALID;;;;
17.2.4;Ensure 'Audit Other Account Management Events' is set to 'Success and Failure';Pas de clef de registre correspondante;;###;INVALID;;;;
17.2.5;Ensure 'Audit Security Group Management' is set to 'Success and Failure';Pas de clef de registre correspondante;;###;INVALID;;;;
17.2.6;Ensure 'Audit User Account Management' is set to 'Success and Failure';Pas de clef de registre correspondante;;###;INVALID;;;;
17.3.1;Ensure 'Audit Process Creation' is set to 'Success';Pas de clef de registre correspondante;;###;INVALID;;;;
17.4.1;Ensure 'Audit Directory Service Access' is set to 'Success and Failure' (DC only);Pas de clef de registre correspondante;;###;INVALID;;;;
17.4.2;Ensure 'Audit Directory Service Changes' is set to 'Success and Failure' (DC only);Pas de clef de registre correspondante;;###;INVALID;;;;
17.5.1;Ensure 'Audit Account Lockout' is set to 'Success and Failure';Pas de clef de registre correspondante;;###;INVALID;;;;
17.5.2;Ensure 'Audit Logoff' is set to 'Success';Pas de clef de registre correspondante;;###;INVALID;;;;
17.5.3;Ensure 'Audit Logon' is set to 'Success and Failure';Pas de clef de registre correspondante;;###;INVALID;;;;
17.5.4;Ensure 'Audit Other Logon/Logoff Events' is set to 'Success and Failure';Pas de clef de registre correspondante;;###;INVALID;;;;
17.5.5;Ensure 'Audit Special Logon' is set to 'Success';Pas de clef de registre correspondante;;###;INVALID;;;;
17.6.1;Ensure 'Audit Other Object Access Events' is set to 'Success and Failure';Pas de clef de registre correspondante;;###;INVALID;;;;
17.6.2;Ensure 'Audit Removable Storage' is set to 'Success and Failure';Pas de clef de registre correspondante;;###;INVALID;;;;
17.7.1;Ensure 'Audit Audit Policy Change' is set to 'Success and Failure';Pas de clef de registre correspondante;;###;INVALID;;;;
17.7.2;Ensure 'Audit Authentication Policy Change' is set to 'Success';Pas de clef de registre correspondante;;###;INVALID;;;;
17.7.3;Ensure 'Audit Authorization Policy Change' is set to 'Success';Pas de clef de registre correspondante;;###;INVALID;;;;
17.8.1;Ensure 'Audit Sensitive Privilege Use' is set to 'Success and Failure';Pas de clef de registre correspondante;;###;INVALID;;;;
17.9.1;Ensure 'Audit IPsec Driver' is set to 'Success and Failure';Pas de clef de registre correspondante;;###;INVALID;;;;
17.9.2;Ensure 'Audit Other System Events' is set to 'Success and Failure';Pas de clef de registre correspondante;;###;INVALID;;;;
17.9.3;Ensure 'Audit Security State Change' is set to 'Success';Pas de clef de registre correspondante;;###;INVALID;;;;
17.9.4;Ensure 'Audit Security System Extension' is set to 'Success and Failure';Pas de clef de registre correspondante;;###;INVALID;;;;
17.9.5;Ensure 'Audit System Integrity' is set to 'Success and Failure';Pas de clef de registre correspondante;;###;INVALID;;;;
18.1.1.1;Ensure 'Prevent enabling lock screen camera' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\Personalization;NoLockScreenCamera;1;INVALID;;;;
18.1.1.2;Ensure 'Prevent enabling lock screen slide show' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\Personalization;NoLockScreenSlideshow;1;INVALID;;;;
18.2.1;Ensure LAPS AdmPwd GPO Extension / CSE is installed;HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\GPExtensions\{D76B9641-3288-4f75-942D-087DE603E3EA};DllName;Chemin vers la DLL;INVALID;;;;
18.2.2;Ensure 'Do not allow password expiration time longer than required by policy' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd;PwdExpirationProtectionEnabled;1;INVALID;;;;
18.2.3;Ensure 'Enable Local Admin Password Management' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd;AdmPwdEnabled;1;INVALID;;;;
18.2.4;Ensure 'Password Settings Password Complexity' ;HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd;PasswordComplexity;4;INVALID;;;;
18.2.5;Ensure 'Password Settings Password Length' is set to 'Enabled 15 or more';HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd;PasswordLength;15-30;INVALID;;;;
18.2.6;Ensure 'Password Settings Password Age (Days)' is set to 'Enabled 30 or fewer';HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd;PasswordAgeDays;0-30;INVALID;;;;
18.3.1;Ensure 'Apply UAC restrictions to local accounts on network logons' is set to 'Enabled';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;LocalAccountTokenFilterPolicy;1;INVALID;;;;
18.3.2;Ensure 'Configure SMB v1 client driver' is set to 'Enabled Disable driver';HKLM:\SYSTEM\CurrentControlSet\Services\mrxsmb10;Start;4;INCORRECT;;;;
18.3.3;Ensure 'Configure SMB v1 server' is set to 'Disabled';HKLM:\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters;SMB1;0;INCORRECT;;;;
18.3.4;Ensure 'Enable Structured Exception Handling Overwrite Protection (SEHOP)' is set to 'Enabled';HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager\kernel;DisableExceptionChainValidation;1;INCORRECT;;;;
18.3.5;Ensure 'WDigest Authentication' is set to 'Disabled';HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\Wdigest;UseLogonCredential;0;INCORRECT;;;;
18.4.1;Ensure 'MSS (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled';HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon;AutoAdminLogon;0;CORRECT;;;;
18.4.2;Ensure 'MSS (DisableIPSourceRouting IPv6) IP source routing protection level';HKLM:\SYSTEM\CurrentControlSet\Services\Tcpip6\Parameters;DisableIPSourceRouting;2;CORRECT;;;;
18.4.3;Ensure 'MSS (DisableIPSourceRouting) IP source routing protection level';HKLM:\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters;DisableIPSourceRouting;2;CORRECT;;;;
18.4.4;Ensure 'MSS (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes' ;HKLM:\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters;EnableICMPRedirect;0;CORRECT;;;;
18.4.5;Ensure 'MSS (KeepAliveTime) How often keep-alive packets are sent in milliseconds';HKLM:\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters;KeepAliveTime;300000;CORRECT;;;;
18.4.6;Ensure 'MSS Allow the computer to ignore NetBIOS name release requests except from servers';HKLM:\SYSTEM\CurrentControlSet\Services\NetBT\Parameters;NoNameReleaseOnDemand;1;CORRECT;;;;
18.4.7;Ensure 'MSS (PerformRouterDiscovery) Allow IRDP to detect configure Default Gateway addresses';HKLM:\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters;PerformRouterDiscovery;0;CORRECT;;;;
18.4.8;Ensure 'MSS (SafeDllSearchMode) Enable Safe DLL search mode';HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager;SafeDllSearchMode;1;CORRECT;;;;
18.4.9;Ensure 'MSS (ScreenSaverGracePeriod) The time in seconds before the screensaver expires';HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon;ScreenSaverGracePeriod;0-5;CORRECT;;;;
18.4.10;Ensure 'MSS How many times unacknowledged data is retransmitted';HKLM:\SYSTEM\CurrentControlSet\Services\TCPIP6\Parameters;TcpMaxDataRetransmissions;0-3;CORRECT;;;;
18.4.11;Ensure 'MSS  How many times unacknowledged data is retransmitted' is set to 'Enabled 3';HKLM:\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters;TcpMaxDataRetransmissions;0-3;CORRECT;;;;
18.4.12;Ensure 'MSS Percentage threshold for the security event log';HKLM:\SYSTEM\CurrentControlSet\Services\Eventlog\Security;WarningLevel;90;CORRECT;;;;
18.5.4.1;Set 'NetBIOS node type' to 'P-node' (Ensure NetBT Parameter 'NodeType' is set to '0x2 (2)');HKLM:\System\CurrentControlSet\Services\NetBT\Parameters;NodeType;2;CORRECT;;;;
18.5.4.2;Ensure 'Turn off multicast name resolution' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\DNSClient;EnableMulticast;1;CORRECT;;;;
18.5.9.1;Ensure 'Turn on Mapper I/O (LLTDIO) driver' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\LLTD;AllowLLTDIOOnDomain;0;INVALID;;;;
18.5.9.1;Ensure 'Turn on Mapper I/O (LLTDIO) driver' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\LLTD;AllowLLTDIOOnPublicNet;0;INVALID;;;;
18.5.9.1;Ensure 'Turn on Mapper I/O (LLTDIO) driver' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\LLTD;EnableLLTDIO;0;INVALID;;;;
18.5.9.1;Ensure 'Turn on Mapper I/O (LLTDIO) driver' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\LLTD;ProhibitLLTDIOOnPrivateNet;0;INVALID;;;;
18.5.9.2;Ensure 'Turn on Responder (RSPNDR) driver' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\LLTD;AllowRspndrOnDomain;0;INVALID;;;;
18.5.9.2;Ensure 'Turn on Responder (RSPNDR) driver' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\LLTD;AllowRspndrOnPublicNet;0;INVALID;;;;
18.5.9.2;Ensure 'Turn on Responder (RSPNDR) driver' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\LLTD;EnableRspndr;0;INVALID;;;;
18.5.9.2;Ensure 'Turn on Responder (RSPNDR) driver' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\LLTD;ProhibitRspndrOnPrivateNet;0;INVALID;;;;
18.5.10.2;Ensure 'Turn off Microsoft Peer-to-Peer Networking Services' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Peernet;Disabled;1;INCORRECT;;;;
18.5.11.2;Ensure 'Prohibit installation and configuration of Network Bridge on your DNS domain network';HKLM:\SOFTWARE\Policies\Microsoft\Windows\Network Connections;NC_AllowNetBridge_NLA;1;INCORRECT;;;;
18.5.11.3;Ensure 'Require domain users to elevate when setting a network's location' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\Network Connections;NC_StdDomainUserSetLocation;1;INCORRECT;;;;
18.5.14.1;"Ensure 'Hardened UNC Paths' is set to 'Enabled, with ""Require Mutual Authentication"" ";HKLM:\SOFTWARE\Policies\Microsoft\Windows\NetworkProvider\HardenedPaths;\\*\NETLOGON;RequireMutualAuthentication=1, RequireIntegrity=1;TO CHECK;;;;
18.5.14.1;"Ensure 'Hardened UNC Paths' is set to 'Enabled, with ""Require Mutual Authentication"" ";HKLM:\SOFTWARE\Policies\Microsoft\Windows\NetworkProvider\HardenedPaths;\\*\SYSVOL;RequireMutualAuthentication=1, RequireIntegrity=1;TO CHECK;;;;
18.5.19.2.1;Disable IPv6 (Ensure TCPIP6 Parameter 'DisabledComponents' is set to '0xff (255)');HKLM:\SYSTEM\CurrentControlSet\Services\TCPIP6\Parameters;DisabledComponents;255;TO CHECK;;;;
18.5.20.1;Ensure 'Configuration of wireless settings using Windows Connect Now' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\WCN\Registrars;EnableRegistrars;0;INVALID;;;;
18.5.20.1;Ensure 'Configuration of wireless settings using Windows Connect Now' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\WCN\Registrars;DisableUPnPRegistrar;0;INVALID;;;;
18.5.20.1;Ensure 'Configuration of wireless settings using Windows Connect Now' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\WCN\Registrars;DisableInBand802DOT11Registrar;0;INVALID;;;;
18.5.20.1;Ensure 'Configuration of wireless settings using Windows Connect Now' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\WCN\Registrars;DisableFlashConfigRegistrar;0;INVALID;;;;
18.5.20.1;Ensure 'Configuration of wireless settings using Windows Connect Now' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\WCN\Registrars;DisableWPDRegistrar;0;INVALID;;;;
18.5.20.2;Ensure 'Prohibit access of the Windows Connect Now wizards' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\WCN\UI;DisableWcnUi;1;INVALID;;;;
18.5.21.1;Ensure 'Minimize the number of simultaneous connections to the Internet or a Windows Domain' ;HKLM:\SOFTWARE\Policies\Microsoft\Windows\WcmSvc\GroupPolicy;fMinimizeConnections;1;INVALID;;;;
18.5.21.2;Ensure 'Prohibit connection to non-domain networks when connected authenticated network' ;HKLM:\SOFTWARE\Policies\Microsoft\Windows\WcmSvc\GroupPolicy;fBlockNonDomain;1;INVALID;;;;
18.8.3.1;Ensure 'Include command line in process creation events' is set to 'Disabled';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Audit;ProcessCreationIncludeCmdLine_Enabled;0;INVALID;;;;
18.8.4.1;Ensure 'Remote host allows delegation of non-exportable credentials' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\CredentialsDelegation;AllowProtectedCreds;1;INVALID;;;;
18.8.14.1;Ensure 'Boot-Start Driver Initialization Policy' is set to 'Enabled Good, unknown and bad but critical';HKLM:\SYSTEM\CurrentControlSet\Policies\EarlyLaunch;DriverLoadPolicy;3;INVALID;;;;
18.8.21.2;Ensure 'Configure registry policy processing Do not apply during periodic background processing';HKLM:\SOFTWARE\Policies\Microsoft\Windows\Group Policy\{35378EAC-683F-11D2-A89A-00C04FBBCFA2}\NoBackgroundPolicy;;0;INVALID;;;;
18.8.21.3;Ensure 'Configure registry policy processing Process even if the GPO have not changed';HKLM:\SOFTWARE\Policies\Microsoft\Windows\Group Policy\{35378EAC-683F-11D2-A89A-00C04FBBCFA2}\NoGPOListChanges;;0;INVALID;;;;
18.8.21.4;Ensure 'Turn off background refresh of Group Policy' is set to 'Disabled';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;DisableBkGndGroupPolicy;0;INVALID;;;;
18.8.22.1.1;Ensure 'Turn off downloading of print drivers over HTTP' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Printers;DisableWebPnPDownload;1;INVALID;;;;
18.8.22.1.2;Ensure 'Turn off handwriting personalization data sharing' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\TabletPC;PreventHandwritingDataSharing;1;INVALID;;;;
18.8.22.1.3;Ensure 'Turn off handwriting recognition error reporting' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\HandwritingErrorReports;PreventHandwritingErrorReports;1;INVALID;;;;
18.8.22.1.4;Ensure 'Turn off Internet Connection Wizard if URL connection is referring to Microsoft.com' ;HKLM:\SOFTWARE\Policies\Microsoft\Windows\Internet Connection Wizard;ExitOnMSICW;1;INVALID;;;;
18.8.22.1.5;Ensure 'Turn off Internet download for Web publishing and online ordering wizards';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer;NoWebServices;1;INVALID;;;;
18.8.22.1.6;Ensure 'Turn off printing over HTTP' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Printers;DisableHTTPPrinting;1;INVALID;;;;
18.8.22.1.7;Ensure 'Turn off Registration if URL connection is referring to Microsoft.com' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\Registration Wizard Control;NoRegistration;1;INVALID;;;;
18.8.22.1.8;Ensure 'Turn off Search Companion content file updates' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\SearchCompanion;DisableContentFileUpdates;1;INVALID;;;;
18.8.22.1.9;"Ensure 'Turn off the ""Order Prints"" picture task' is set to 'Enabled'";HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer;NoOnlinePrintsWizard;1;INVALID;;;;
18.8.22.1.10;"Ensure 'Turn off the ""Publish to Web"" task for files and folders' is set to 'Enabled'";HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer;NoPublishingWizard;1;INVALID;;;;
18.8.22.1.11;Ensure 'Turn off the Windows Messenger Customer Experience Improvement Program';HKLM:\SOFTWARE\Policies\Microsoft\Messenger\Client;CEIP;1;INVALID;;;;
18.8.22.1.12;Ensure 'Turn off Windows Customer Experience Improvement Program' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\SQMClient\Windows;CEIPEnable;1;INVALID;;;;
18.8.22.1.13;Ensure 'Turn off Windows Error Reporting' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\Windows Error Reporting;Disabled;1;INVALID;;;;
18.8.22.1.13;Ensure 'Turn off Windows Error Reporting' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\PCHealth\ErrorReporting;DoReport;1;INVALID;;;;
18.8.26.1;Ensure 'Disallow copying of user input methods to the system account for sign-in' ;HKLM:\SOFTWARE\Policies\Microsoft\Control Panel\International;BlockUserInputMethodsForSignIn;1;INVALID;;;;
18.8.27.1;Ensure 'Do not display network selection UI' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\System;DontDisplayNetworkSelectionUI;1;INVALID;;;;
18.8.27.2;Ensure 'Do not enumerate connected users on domain-joined computers' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\System;DontEnumerateConnectedUsers;1;INVALID;;;;
18.8.27.3;Ensure 'Enumerate local users on domain-joined computers' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\System;EnumerateLocalUsers;0;INVALID;;;;
18.8.27.4;Ensure 'Turn off app notifications on the lock screen' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\System;DisableLockScreenAppNotifications;1;INVALID;;;;
18.8.27.5;Ensure 'Turn off picture password sign-in' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\System;BlockDomainPicturePassword;1;INVALID;;;;
18.8.27.6;Ensure 'Turn on convenience PIN sign-in' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\System;AllowDomainPINLogon;0;INCORRECT;;;;
18.8.33.6.1;Ensure 'Require a password when a computer wakes (on battery)' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5-f7d2daa51f51;DCSettingIndex;1;INVALID;;;;
18.8.33.6.2;Ensure 'Require a password when a computer wakes (plugged in)' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5-f7d2daa51f51;ACSettingIndex;1;INVALID;;;;
18.8.35.1;Ensure 'Configure Offer Remote Assistance' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services;fAllowUnsolicited;0;INVALID;;;;
18.8.35.2;Ensure 'Configure Solicited Remote Assistance' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services;fAllowToGetHelp;0;INVALID;;;;
18.8.36.1;Ensure 'Enable RPC Endpoint Mapper Client Authentication' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Rpc;EnableAuthEpResolution;1;INVALID;;;;
18.8.36.2;Ensure 'Restrict Unauthenticated RPC clients' is set to 'Enabled Authenticated';HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Rpc;RestrictRemoteClients;1;INVALID;;;;
18.8.44.5.1;Ensure 'Microsoft Support Diagnostic Tool Turn on MSDT interactive communication';HKLM:\SOFTWARE\Policies\Microsoft\Windows\ScriptedDiagnosticsProvider\Policy;DisableQueryRemoteServer;0;INVALID;;;;
18.8.44.11.1;Ensure 'Enable/Disable PerfTrack' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\WDI\{9c5a40da-b965- 4fc3-8781-88dd50a6299d};ScenarioExecutionEnabled;0;INVALID;;;;
18.8.46.1;Ensure 'Turn off the advertising ID' is set to 'Enabled';HKLM:\SOFTWARE\policies\Microsoft\Windows\AdvertisingInfo;DisabledByGroupPolicy;1;INVALID;;;;
18.8.49.1.1;Ensure 'Enable Windows NTP Client' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\W32Time\TimeProviders\NtpClient;Enabled;1;INVALID;;;;
18.8.49.1.2;Ensure 'Enable Windows NTP Server' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\W32Time\TimeProviders\NtpServer;Enabled;0;INVALID;;;;
18.9.6.1;Ensure 'Allow Microsoft accounts to be optional' is set to 'Enabled';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;MSAOptional;1;INVALID;;;;
18.9.8.1;Ensure 'Disallow Autoplay for non-volume devices' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\Explorer;NoAutoplayfornonVolume;1;INVALID;;;;
18.9.8.2;Ensure 'Set the default behavior for AutoRun';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer;NoAutorun;1;INVALID;;;;
18.9.8.3;Ensure 'Turn off Autoplay' is set to 'Enabled All drives';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer;NoDriveTypeAutoRun;255;INCORRECT;;;;
18.9.15.1;Ensure 'Do not display the password reveal button' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\CredUI;DisablePasswordReveal;1;INVALID;;;;
18.9.15.2;Ensure 'Enumerate administrator accounts on elevation' is set to 'Disabled';HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\CredUI;EnumerateAdministrators;0;INVALID;;;;
18.9.24.1;Ensure 'EMET 5.52' or higher is installed;Pas de clef de registre correspondante;;###;INVALID;;;;
18.9.24.2;Ensure 'Default Action and Mitigation Settings' is set to 'Enabled' (plus subsettings);HKLM:\SOFTWARE\Policies\Microsoft\EMET\SysSettings;AntiDetours;1;INVALID;;;;
18.9.24.2;Ensure 'Default Action and Mitigation Settings' is set to 'Enabled' (plus subsettings);HKLM:\SOFTWARE\Policies\Microsoft\EMET\SysSettings;BannedFunctions;1;INVALID;;;;
18.9.24.2;Ensure 'Default Action and Mitigation Settings' is set to 'Enabled' (plus subsettings);HKLM:\SOFTWARE\Policies\Microsoft\EMET\SysSettings;DeepHooks;1;INVALID;;;;
18.9.24.2;Ensure 'Default Action and Mitigation Settings' is set to 'Enabled' (plus subsettings);HKLM:\SOFTWARE\Policies\Microsoft\EMET\SysSettings;ExploitAction;1;INVALID;;;;
18.9.24.3;Ensure 'Default Protections for Internet Explorer' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\EMET\Defaults\IE;;1;INVALID;;;;
18.9.24.4;Ensure 'Default Protections for Popular Software' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\EMET\Defaults;;1;INVALID;;;;
18.9.24.5;Ensure 'Default Protections for Recommended Software' is set to 'Enabled';HKLM:\SOFTWARE\Policies\Microsoft\EMET\Defaults;;1;INVALID;;;;
18.9.24.6;Ensure 'System ASLR' is set to 'Enabled Application Opt-In';HKLM:\SOFTWARE\Policies\Microsoft\EMET\SysSettings;ASLR;3;INVALID;;;;
18.9.24.7;Ensure 'System DEP' is set to 'Enabled Application Opt-Out';HKLM:\SOFTWARE\Policies\Microsoft\EMET\SysSettings;DEP;2;INVALID;;;;
18.9.24.8;Ensure 'System SEHOP' is set to 'Enabled Application Opt-Out';HKLM:\SOFTWARE\Policies\Microsoft\EMET\SysSettings;SEHOP;2;INVALID;;;;
18.9.26.1.1;Ensure 'Application Control Event Log behavior when the log file reaches its maximum size';HKLM:\SOFTWARE\Policies\Microsoft\Windows\EventLog\Application;Retention;0;INVALID;;;;
18.9.26.1.2;Ensure 'Application Specify the maximum log file size (KB)' is set to 'Enabled 32,768 or greater';HKLM:\SOFTWARE\Policies\Microsoft\Windows\EventLog\Application;MaxSize;32768-100000;INVALID;;;;
18.9.26.2.1;Ensure 'Security Control Event Log behavior when the log file reaches its maximum size';HKLM:\SOFTWARE\Policies\Microsoft\Windows\EventLog\Security;Retention;0;INVALID;;;;
18.9.26.2.2;Ensure 'Security Specify the maximum log file size (KB)' is set to 'Enabled 196,608 or greater';HKLM:\SOFTWARE\Policies\Microsoft\Windows\EventLog\Security;MaxSize;196608-300000;INVALID;;;;
18.9.26.3.1;Ensure 'Setup Control Event Log behavior when the log file reaches its maximum size';HKLM:\SOFTWARE\Policies\Microsoft\Windows\EventLog\Setup;Retention;0;INVALID;;;;
18.9.26.3.2;Ensure 'Setup Specify the maximum log file size (KB)' is set to 'Enabled 32,768 or greater';HKLM:\SOFTWARE\Policies\Microsoft\Windows\EventLog\Setup;MaxSize;32768-100000;INVALID;;;;
18.9.26.4.1;Ensure 'System Control Event Log behavior when the log file reaches its maximum size';HKLM:\SOFTWARE\Policies\Microsoft\Windows\EventLog\System;Retention;0;INVALID;;;;
18.9.26.4.2;Ensure 'System Specify the maximum log file size (KB)' is set to 'Enabled 32,768 or greater';HKLM:\SOFTWARE\Policies\Microsoft\Windows\EventLog\System;MaxSize;32768-100000;INVALID;;;;
18.9.30.2;Ensure 'Turn off Data Execution Prevention for Explorer' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\Explorer;NoDataExecutionPrevention;0;INVALID;;;;
18.9.30.3;Ensure 'Turn off heap termination on corruption' is set to 'Disabled';HKLM:\SOFTWARE\Policies\Microsoft\Windows\Explorer;NoHeapTerminationOnCorruption;0;INVALID;;;;
